lei,lender_name,apps_in_model,observed_denials,expected_denials,excess_denials,observed_expected_ratio,ratio_ci95_low,ratio_ci95_high,standardized_residual_z,profile_coverage_pct,flag
549300OQMU3ID8QA6M46,"VELOCIO MORTGAGE, L.L.C.",2928,73,393.7,-320.7,0.185,0.145,0.233,-17.37,93.2,below_expectation_ci_excludes_1
5493001GDRY0EL7VG372,ARK-LA-TEX FINANCIAL SERVICES LLC,4354,201,604.5,-403.5,0.333,0.288,0.382,-17.68,93.2,below_expectation_ci_excludes_1
549300F8C5JA44WNMI75,American Neighborhood Mortgage Acceptance Company,3243,160,539.8,-379.8,0.296,0.252,0.346,-17.9,91.5,below_expectation_ci_excludes_1
549300RPOGWJRH63HS39,UNION HOME MORTGAGE CORP.,7921,666,1262.8,-596.8,0.527,0.488,0.569,-18.32,89.1,below_expectation_ci_excludes_1
549300YW2UBCMDRMBT48,,1402,74,418.8,-344.8,0.177,0.139,0.222,-20.12,91.4,below_expectation_ci_excludes_1
549300LXKO1O7CSK5J52,"FLAT BRANCH MORTGAGE, INC.",3776,71,486.9,-415.9,0.146,0.114,0.184,-20.2,90.4,below_expectation_ci_excludes_1
549300MCIFZSDHUT8X63,,4653,183,666.2,-483.2,0.275,0.236,0.318,-20.22,96.3,below_expectation_ci_excludes_1
254900ZFWS2106HWPH46,PARAMOUNT RESIDENTIAL MORTGAGE,7555,419,1122.3,-703.3,0.373,0.338,0.411,-22.75,94.7,below_expectation_ci_excludes_1
549300MGPZBLQDIL7538,FAIRWAY INDEPENDENT MORT CORP,16045,1295,2373.5,-1078.5,0.546,0.516,0.576,-23.98,93.7,below_expectation_ci_excludes_1
549300GKFNPRWNS0GF29,CMG MORTGAGE INC,15082,892,2155.3,-1263.3,0.414,0.387,0.442,-29.39,92.9,below_expectation_ci_excludes_1
549300DD4R4SYK5RAQ92,"MOVEMENT MORTGAGE, LLC",12819,760,2011.1,-1251.1,0.378,0.352,0.406,-30.38,89.8,below_expectation_ci_excludes_1
549300AQ3T62GXDU7D76,GUILD MORTGAGE COMPANY,21690,1446,3205.0,-1759.0,0.451,0.428,0.475,-33.66,93.1,below_expectation_ci_excludes_1
549300VZVN841I2ILS84,"CROSSCOUNTRY MORTGAGE, LLC",25378,1568,4222.4,-2654.4,0.371,0.353,0.39,-44.74,85.8,below_expectation_ci_excludes_1
